Country,Year,World bank region,Birth Rate,Death Rate,Fertility Rate,"Life Expectancy at Birth, Female","Life Expectancy at Birth, Male","Life Expectancy at Birth, Total",Mobile Cellular Subscriptions per 100 People,Telephone Lines per 100 People,Agricultural Land Percent,Arable Land Percent,Urban Population Percent,Color
Cambodia,1980,East Asia & Pacific,42.78,48.922,5.545,27.323,21.401,24.28978049,0,16.10157283,14.72920915,11.04690687,5.999,#F95454
Cambodia,1981,East Asia & Pacific,44.439,42.066,5.685,32.531,26.835,29.61353659,0,14.09266958,15.01246318,11.33016089,9.898,#F95454
Cambodia,1982,East Asia & Pacific,46.118,33.832,5.85,38.656,33.19,35.85634146,0,12.08376633,15.01246318,11.33016089,12.742,#F95454
Cambodia,1983,East Asia & Pacific,47.555,25.818,6.008,44.628,39.365,41.93231707,0,10.07486308,15.18241559,11.5001133,13.031,#F95454
Cambodia,1984,East Asia & Pacific,48.541,19.268,6.13,49.611,44.501,46.99368293,0,8.065959834,15.23906639,11.55676411,13.325,#F95454
Cambodia,1985,East Asia & Pacific,48.97,14.701,6.2,53.247,48.229,50.67680488,0,6.057056586,15.24473148,11.55676411,13.626,#F95454
Cambodia,1986,East Asia & Pacific,48.793,12.246,6.21,55.435,50.445,52.87914634,0,4.048153338,16.93859053,13.02968502,13.931,#F95454
Cambodia,1987,East Asia & Pacific,48.048,11.571,6.16,56.386,51.371,53.81734146,0,2.03925009,18.63811466,14.72920915,14.242,#F95454
Cambodia,1988,East Asia & Pacific,46.9,11.783,6.065,56.697,51.628,54.10068293,0,0.030346841,20.96079764,16.99524133,14.559,#F95454
Cambodia,1989,East Asia & Pacific,45.506,12.142,5.941,56.869,51.738,54.24092683,0,0.031371841,23.51008384,19.54452753,14.883,#F95454
Cambodia,1990,East Asia & Pacific,43.945,12.392,5.792,57.079,51.886,54.41917073,0,0.033026696,25.12463177,20.87582144,15.211,#F95454
Cambodia,1991,East Asia & Pacific,42.273,12.374,5.623,57.441,52.193,54.753,0,0.034392,25.23793338,20.93247224,15.546,#F95454
Cambodia,1992,East Asia & Pacific,40.521,12.075,5.438,57.979,52.679,55.26436585,0,0.041425926,25.5495128,20.96079764,15.887,#F95454
Cambodia,1993,East Asia & Pacific,38.709,11.661,5.24,58.594,53.245,55.85426829,0,0.041844211,25.57783821,20.96079764,16.234,#F95454
Cambodia,1994,East Asia & Pacific,36.876,11.26,5.033,59.22,53.82,56.45414634,0.047730546,0.041826248,25.66847949,21.05143893,16.587,#F95454
Cambodia,1995,East Asia & Pacific,35.082,10.867,4.825,59.871,54.424,57.08107317,0.098166222,0.066565883,25.88941763,20.96079764,16.946,#F95454
Cambodia,1996,East Asia & Pacific,33.391,10.476,4.62,60.559,55.078,57.75165854,0.13092897,0.079188812,25.88941763,20.96079764,17.311,#F95454
Cambodia,1997,East Asia & Pacific,31.852,10.084,4.423,61.292,55.796,58.47697561,0.208266253,0.139532439,25.94606843,20.96079764,17.683,#F95454
Cambodia,1998,East Asia & Pacific,30.484,9.691,4.236,62.066,56.578,59.25507317,0.29445528,0.175886924,25.94606843,20.96079764,18.06,#F95454
Cambodia,1999,East Asia & Pacific,29.299,9.3,4.059,62.878,57.42,60.08243902,0.524974387,0.207619261,26.22932246,20.96079764,18.355,#F95454
Cambodia,2000,East Asia & Pacific,28.315,8.914,3.896,63.729,58.32,60.95853659,0.745096324,0.231629752,26.28597326,20.96079764,18.47,#F95454
Cambodia,2001,East Asia & Pacific,27.545,8.533,3.75,64.627,59.278,61.88726829,1.068055124,0.252641135,27.02243372,20.96079764,18.586,#F95454
Cambodia,2002,East Asia & Pacific,26.99,8.161,3.619,65.583,60.296,62.87502439,1.791593179,0.268540943,27.70224337,20.96079764,18.703,#F95454
Cambodia,2003,East Asia & Pacific,26.612,7.805,3.504,66.591,61.355,63.90914634,2.989928034,0.278684897,28.32540222,20.96079764,18.82,#F95454
Cambodia,2004,East Asia & Pacific,26.372,7.469,3.401,67.632,62.43,64.96756098,3.853206909,0.242601707,28.89191027,20.96079764,18.937,#F95454
Cambodia,2005,East Asia & Pacific,26.238,7.16,3.31,68.683,63.493,66.02470732,6.551636708,0.244726256,29.62837072,20.96079764,19.055,#F95454
Cambodia,2006,East Asia & Pacific,26.183,6.886,3.23,69.705,64.508,67.04312195,7.95123006,0.246854997,30.34217086,20.96079764,19.174,#F95454
Cambodia,2007,East Asia & Pacific,26.182,6.653,3.162,70.657,65.436,67.98282927,12.70116666,0.189213558,30.90301382,21.52730569,19.293,#F95454
Cambodia,2008,East Asia & Pacific,26.215,6.463,3.102,71.511,66.259,68.82095122,18.79147363,0.272992026,30.90301382,21.52730569,19.413,#F95454
Cambodia,2009,East Asia & Pacific,26.253,6.314,3.051,72.251,66.966,69.54404878,30.39341867,0.309170721,31.46952187,22.09381373,19.533,#F95454
